2017_11_17 14:10:49.912 INFO   send: 0110170000050A000100010000000400000A67
2017_11_17 14:10:49.932 INFO   收到信息: 01101700000505BE
2017_11_17 14:10:57.772 INFO   send: 0110170000050A000100010000000400028BA6
2017_11_17 14:10:57.782 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:00.743 INFO   send: 0110170000050A000100010000000400028BA6
2017_11_17 14:11:00.753 INFO   send: 0110170000050A00010001000400040003BBA6
2017_11_17 14:11:00.753 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:00.773 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:01.653 INFO   send: 0110170000050A00010001000400040003BBA6
2017_11_17 14:11:01.673 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:01.743 INFO   send: 0110170000050A00010001000400040003BBA6
2017_11_17 14:11:01.763 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:02.473 INFO   send: 0110170000050A000100010008000400012A66
2017_11_17 14:11:02.483 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:02.753 INFO   send: 0110170000050A000100010008000400012A66
2017_11_17 14:11:02.763 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:03.153 INFO   send: 0110170000050A00010001000C000400029BA7
2017_11_17 14:11:03.153 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:03.753 INFO   send: 0110170000050A00010001000C000400029BA7
2017_11_17 14:11:03.763 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:04.743 INFO   send: 0110170000050A000100010010000400038BA5
2017_11_17 14:11:04.753 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:05.613 INFO   send: 0110170000050A00010001001400040001FBA4
2017_11_17 14:11:05.623 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:05.743 INFO   send: 0110170000050A00010001001400040001FBA4
2017_11_17 14:11:05.763 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:06.423 INFO   send: 0110170000050A00010001001800040002ABA4
2017_11_17 14:11:06.443 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:06.743 INFO   send: 0110170000050A00010001001800040002ABA4
2017_11_17 14:11:06.753 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:07.233 INFO   send: 0110170000050A00010001001C000400039BA4
2017_11_17 14:11:07.233 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:07.743 INFO   send: 0110170000050A00010001001C000400039BA4
2017_11_17 14:11:07.753 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:08.083 INFO   send: 0110170000050A000100010020000400014A60
2017_11_17 14:11:08.093 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:08.743 INFO   send: 0110170000050A000100010020000400014A60
2017_11_17 14:11:08.743 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:09.023 INFO   send: 0110170000050A00010001002400040002FBA1
2017_11_17 14:11:09.023 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:09.743 INFO   send: 0110170000050A00010001002400040002FBA1
2017_11_17 14:11:09.743 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:09.913 INFO   send: 0110170000050A000100010028000400032A60
2017_11_17 14:11:09.913 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:10.743 INFO   send: 0110170000050A000100010028000400032A60
2017_11_17 14:11:10.743 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:11.743 INFO   send: 0110170000050A00010001002C000400015A61
2017_11_17 14:11:11.743 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:12.744 INFO   send: 0110170000050A00010001003000040002CBA2
2017_11_17 14:11:12.744 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:13.744 INFO   send: 0110170000050A00010001003400040003FBA2
2017_11_17 14:11:13.744 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:14.744 INFO   send: 0110170000050A000100010038000400016A62
2017_11_17 14:11:14.744 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:15.754 INFO   send: 0110170000050A00010001003C00040002DBA3
2017_11_17 14:11:15.754 INFO   收到信息: 01101700000505BE
2017_11_17 14:11:16.744 INFO   send: 0110170000050A000100010040000400034BA9
